,embedding
948,"[0.026076581300000002, 0.0020626816, 0.7601817846000001, 0.0119174998, -0.2038199306, -0.0172365885, 0.6616180539000001, -0.1079998761, -0.019496163400000002, 0.3360769451, -0.0684565827, -0.38227796550000004, -0.0127367694, -0.543830812, 0.3714833856, 0.7052177191, 0.0383977629, 0.0012919642000000001, 0.44448623060000003, -0.21289128070000002, 0.21747395400000002, -0.3757895827, -0.1001271084, 0.0387468413, 0.25873267650000004, -0.44702395800000005, 0.1497674286, -0.1571230143, 0.36568963530000004, -0.32868278030000003, -0.0920506194, 0.5375902057, 0.1459862888, -0.0580608174, 0.0658128485, 0.3451328576, -0.2281401157, -0.1541352272, -0.11998112500000001, 0.1208963245, 0.12190108000000001, -0.0587560385, 0.6454676986, -0.3879585564, -0.11203023790000001, -0.30514070390000003, -0.13196185230000002, -0.441663146, 0.19469508530000001, 0.15596863630000002, -0.1588243842, 0.11782467370000001, -0.002145052, 0.019810028400000002, 0.5510015488000001, -0.2327678353, -0.3162492216, -0.2901199162, -0.1325244308, -0.20878429710000002, -0.46967577930000004, -0.045418895800000005, -0.47900757190000004, 0.0276232958, 0.87716645, -0.140922606, 0.1443052441, -0.21452422440000002, 0.21970601380000002, -0.22510178390000002, 0.1826831996, -0.0753588602, -0.0978513807, -0.0780180246, -0.1144711375, 0.0407464057, 0.27708399300000003, -0.1040379107, -0.0524123274, -0.0356947109, -0.1090715975, -0.3106880188, -0.436914444, 0.3074607253, 0.1803068519, 0.1625199765, 0.2600983083, 0.0322419927, -0.3316007555, -0.1272301078, 0.3144434392, -0.3971117735, 0.0187679511, -0.0461241975, 0.1903854012, -0.044798284800000004, -0.19419597090000001, -0.1703205556, 0.303242147, 0.1602102667, -0.2575023174, 0.1618161947, 0.2585034668, 0.403842032, 0.4939870834, 0.3290762901, 0.34953981640000004, 0.2672248483, 0.3170711994, -0.2605190873, -0.0875317305, 0.6218554974, 0.4404852092, 0.6851971745000001, 0.3641408384, -0.0738995373, -0.3018558323, 0.0353186093, -0.1713725179, 0.12108020480000001, -0.1998733729, 0.072473824, 0.0156000853, -0.3254477382, 0.08788152040000001, -0.1467424035, 0.46678501370000003, -0.0164723471]"
949,"[0.0608500913, -0.2362809479, 0.5289057493, 0.26912811400000003, -0.1725470722, 0.11039510370000001, 0.6608904600000001, -0.3935406804, -0.3042862415, 0.6404424906, -0.0208130069, -0.5194996595, 0.1739200801, -0.45404672620000003, 0.3235855997, 0.3677404523, -0.07539899650000001, 0.007193475, 0.16341839730000002, -0.1410265416, 0.2761481106, -0.2469140142, -0.3204784989, -0.0987101346, 0.1570314318, -0.37352302670000004, 0.1028906852, -0.0015903451, 0.4688337147, -0.15195274350000001, -0.2124944031, 0.3235984445, 0.2076432109, 0.0259299241, -0.06335469340000001, 0.094757542, -0.35385859010000004, -0.1937615871, -0.000285618, 0.0409864858, -0.0239382684, -0.1169599518, 0.43295717240000003, -0.2624108195, -0.2886962295, -0.3296490312, -0.1278677583, -0.3480693996, -0.0271280855, -0.0612757951, -0.1959858388, 0.0682848021, 0.34560284020000004, -0.4683725536, 0.6670649648, -0.2370738238, -0.212130174, -0.1489338577, -0.1194479093, -0.3370122015, -0.3637633026, -0.3264968991, -0.2739740014, 0.128957063, 0.6034984589, -0.2059930265, 0.19354091580000002, -0.23670969900000002, 0.2392626703, -0.1535959989, -0.1372595727, -0.1742818654, 0.0418631919, -0.16521885990000001, -0.1218161806, -0.07905957100000001, 0.20783832670000002, 0.0500949584, -0.0512226485, -0.0392383859, -0.11881931130000001, -0.24809813500000003, -0.3093669415, 0.28082060810000004, -0.14457711580000002, -0.1934858412, 0.2016538978, -0.0540806688, -0.3134302497, -0.12017460910000001, 0.3642828166, -0.3038428426, 0.0703181475, 0.0120878965, 0.1586956978, 0.1340717673, 0.10062721370000001, -0.0341801792, 0.45277306440000004, 0.0359042771, -0.2363426536, 0.0947648138, 0.2327660322, 0.4265963137, 0.36408460140000004, 0.0197054427, 0.0769053474, 0.3370721638, 0.3129018843, -0.3120760024, -0.139986366, 0.6031889915, 0.5350329876000001, 0.47471874950000004, 0.39026802780000003, 0.1083605364, -0.1447908282, -0.0098071471, 0.0520166419, 0.004298741, -0.0051632975000000005, 0.21026875080000001, 0.145138219, -0.41943371300000004, -0.0428956598, -0.3007149696, 0.35343360900000004, -0.2178513855]"
950,"[-0.0564354137, -0.09227006880000001, 0.5299532413, 0.09217152740000001, -0.0363774486, 0.0633759648, 0.5177130103, -0.3084487617, -0.1389119476, 0.1928626597, -0.1078574732, -0.3467748761, 0.0855281949, -0.5827839971000001, 0.3492324948, 0.5505477786, 0.0188965499, -0.1257955432, 0.3774565756, -0.016417956, 0.3001476824, -0.1739811748, -0.2595405579, 0.061490878500000005, 0.1629811525, -0.25020077820000003, 0.2893615365, 0.0076789604000000004, 0.0100579541, -0.0046446733, -0.0365409628, 0.3779881895, 0.308395803, 0.0197200403, -0.1808681786, 0.2442140877, -0.320477277, -0.0428907797, 0.28905686740000003, -0.0534046441, 0.15141963960000002, -0.0510656945, 0.5985648036, 0.017806069900000002, 0.0304151401, -0.1521060765, -0.23169475790000002, -0.6338663101, -0.0809997544, 0.0865609199, -0.2573982477, 0.08471422640000001, -0.11124204100000001, -0.2887234986, 0.7534173727, -0.0366997384, -0.3239544332, -0.6126247644, -0.028704533400000003, -0.20238077640000002, -0.4451231062, -0.1528619826, -0.2977348268, -0.0674865246, 0.6839221716, 0.0164466389, 0.1158976704, 0.0007510446000000001, 0.34882622960000004, -0.1807743907, 0.0745400786, -0.1465138048, 0.0895793512, 0.0608634725, -0.0029293261, -0.0860819221, 0.3636277318, -0.2482557595, -0.18317271770000002, 0.1072367802, 0.0075642662, -0.3426610231, -0.2036286294, 0.1440152824, 0.0636183619, -0.0461055376, 0.4032350183, -0.0865727738, -0.08636574450000001, -0.1545769125, 0.3369483352, -0.2802956998, -0.10699035970000001, 0.0198258758, 0.3469152451, 0.0133105312, 0.0735474229, 0.023248644500000002, 0.4599306583, 0.024961022700000002, -0.1676082909, 0.1020053923, 0.1950751692, 0.0799865201, 0.5017122030000001, -0.08182411640000001, 0.1727841049, 0.0932740569, 0.4615378082, -0.2614703178, -0.23093941810000002, 0.4352968037, 0.3043959439, 0.7935171723000001, 0.36608713870000004, -0.0092452839, -0.0682082921, -0.0380625725, -0.032145969600000004, 0.3229781687, -0.1255215704, -0.041993133700000004, 0.08655290310000001, -0.4517543316, 0.21197968720000002, 0.0571118444, 0.5460802913, -0.0666536167]"
951,"[-0.1120563298, -0.18526798490000002, 0.6700465679000001, 0.0128732007, 0.0659692585, -0.14697434010000002, 0.400262922, -0.296492219, -0.3168819547, 0.4826712906, -0.2594643235, -0.2588124871, -0.0202231444, -0.3016054332, 0.1629416347, 0.5432633758000001, 0.1581113935, 0.0970269218, 0.22542911770000001, -0.062095519200000004, 0.2156876922, -0.34527897830000004, -0.3392189443, -0.08154136690000001, 0.2449890673, -0.4431398809, 0.1713540554, -0.0557387955, 0.17979383470000002, 0.0633247942, 0.074241586, 0.129909426, 0.27887746690000004, -0.061286956100000005, -0.08197705450000001, 0.2138139158, -0.2637797892, 0.2174421251, 0.0844878107, 0.1123791635, 0.23929929730000002, -0.048232495800000004, 0.6556224823, 0.0811785012, -0.00564746, -0.0463881195, -0.3186778128, -0.6594517231, -0.032718204, -0.0510673821, -0.1928568035, 0.0507595912, -0.0532013178, 0.08031043410000001, 0.7303481102, -0.1288344562, -0.2146887183, -0.2458810806, 0.101051949, -0.3788303733, -0.4747958183, -0.16412135960000002, -0.34466281530000004, -0.0530778393, 0.47504374380000003, -0.26441049580000003, 0.3495185673, 0.13295938070000002, 0.36026203630000003, -0.0368038453, 0.0764910281, -0.10915135590000001, -0.18240885440000001, -0.10589934890000001, -0.19151598220000002, -0.038477309, 0.4920179844, -0.0483051352, -0.3676873446, -0.018821179900000002, -0.0846816376, -0.37885248660000004, -0.3417656422, 0.20818328860000002, 0.1546991616, 0.050479438200000004, 0.2007811368, -0.15248379110000002, -0.1077568978, -0.0341241807, 0.2486364245, -0.2953965068, -0.13373562690000002, -0.0868999138, 0.28824132680000003, -0.1976410151, -0.06418507550000001, -0.3375586867, 0.5398808718, -0.2177781165, -0.2547469139, -0.0194738563, 0.3540732861, 0.4223869443, 0.5867551565, 0.0951218307, -0.09601905940000001, 0.2800271213, 0.4403841794, -0.1958980411, -0.015734329800000002, 0.4202162921, 0.40345758200000004, 0.7891641855, 0.2428086996, 0.1870557666, -0.17294937370000002, -0.1207527295, -0.0904400721, 0.22643946110000002, 0.005878832200000001, 0.0377015173, 0.1321619749, -0.49027040600000005, 0.20005390050000002, -0.0770631954, 0.5335738063000001, -0.16844898460000002]"
952,"[0.18938440080000002, 0.0372039713, 0.38836625220000004, -0.1600480974, -0.1874970347, -0.206754297, 0.5970019698, -0.3104712665, -0.16394579410000001, 0.39237985010000004, 0.09422450510000001, -0.44499981400000005, -0.08133330200000001, -0.5538713932, 0.2737827301, 0.4120325744, 0.1621417403, 0.0315851048, 0.1606917381, 0.0730774775, 0.3641405702, -0.43508213760000003, -0.17645594480000001, -0.055859439100000005, -0.25394049290000004, -0.0858879909, 0.1175077409, 0.0043554679, 0.184260115, -0.11084438860000001, -0.2961274981, 0.4093820751, -0.0238801893, 0.014038018900000001, 0.14498184620000001, -0.0200945903, -0.293282032, -0.24831222, -0.0401624292, -0.0647787452, 0.0286814794, -0.0918377191, 0.6660628915, 0.1298852861, -0.2513951063, -0.1035361513, -0.4109565616, -0.5056186318, 0.0548943691, -0.1957030296, -0.0510247163, 0.2070775926, -0.10397824650000001, -0.32305020090000003, 0.6593270302, -0.2378236651, -0.39015871290000004, -0.21054196360000002, 0.0176150277, -0.2897528708, -0.3093853593, -0.2089863122, -0.42797154190000003, 0.44459110500000004, 0.3798707128, -0.16058953110000002, -0.0028032511, -0.038294259500000004, 0.2757961452, -0.22712498900000003, -0.1803291142, -0.1447695494, 0.2187195569, -0.0189854633, -0.1326353103, 0.0008724037, 0.2096557617, 0.0445803851, -0.0921773463, 0.1515847296, 0.0165629145, -0.498830229, -0.2819711268, -0.0961985737, -0.1761355996, 0.0677272081, 0.233992219, 0.0112638352, -0.29740694170000004, -0.1748915911, 0.0200576503, -0.12120654430000001, 0.0781037658, -0.056931398800000005, 0.2846693397, 0.0952294618, -0.1197980195, -0.0846236199, 0.37425884600000003, 0.0076291794, -0.2533780336, -0.0758140162, 0.0197816491, 0.3194135725, 0.15777012710000002, 0.1256768703, -0.0008566603000000001, 0.31652638320000004, 0.31025242810000003, -0.23443835970000002, 0.0031940984, 0.5361740589, 0.46087843180000004, 0.5291757584, 0.40938103200000003, 0.0327884257, -0.1179011762, -0.0714136437, 0.0735188648, 0.0896715745, -0.0949315131, -0.0767519698, -0.08531329780000001, -0.4016370475, 0.1385750175, 0.068338275, 0.5515673161, -0.0705552027]"
953,"[-0.2789680362, 0.0241232645, 0.6836595535000001, 0.0039946698000000004, -0.11499413850000001, 0.0113310479, 0.7609198093, -0.176859349, -0.2171927243, 0.2378640026, -0.2784433961, -0.3974697292, 0.0476358943, -0.453876704, 0.23857317860000002, 0.5872972608, -0.17374795680000002, -0.0035075902, 0.2270332575, -0.10262369360000001, 0.180311203, -0.27632263300000004, -0.23612979050000002, 0.07344159480000001, 0.12386447190000001, -0.2294478118, 0.2576674521, 0.0993294418, 0.2836745679, -0.23227036, 0.24107930060000002, 0.1118735299, 0.34880739450000003, 0.096208103, -0.07298046350000001, 0.3483947217, -0.110794656, -0.1093657464, 0.047195971, 0.1071360782, 0.0790134445, -0.0896020979, 0.4443415999, -0.14792460200000002, 0.1804817319, -0.2540123761, -0.46324950460000003, -0.6487376690000001, -0.0190187395, 0.1397816241, -0.1422264427, 0.1282977313, 0.1317821145, -0.2802064419, 0.5655456781, 0.0119031258, -0.3273392916, -0.18759547170000002, 0.0169886276, -0.3551657498, -0.5541071892, -0.2414431125, -0.13695713880000002, -0.1019374058, 0.8516653776, -0.0872078463, 0.0794503763, -0.0772027746, 0.2436142862, -0.0234489366, 0.2119769007, -0.012727771, 0.0187499411, 0.061333082600000005, -0.084033519, 0.2069843262, 0.45631906390000004, -0.0397264138, -0.2563031912, -0.14272928240000002, -0.023840528000000003, -0.45324322580000004, -0.1694428474, 0.1034008339, -0.0227144621, -0.0942703709, 0.2678418756, -0.28500723840000003, -0.2111355513, -0.2493321598, 0.29719904070000003, -0.2058586776, -0.1845429838, -0.020816844, 0.17450042070000002, -0.0513902269, -0.052443742800000005, -0.18631695210000002, 0.5433067083, 0.0599982664, -0.092915073, 0.1473490745, 0.1959903836, 0.3545908332, 0.3869714737, 0.0063125230000000004, -0.1040736958, 0.3250838518, 0.30671685930000003, -0.4696850181, -0.1206109747, 0.441518575, 0.4084810615, 0.5622338057, 0.32989215850000003, 0.07548660780000001, -0.0188031793, -0.0520454682, 0.0956256241, 0.21565110980000002, -0.09849331530000001, -0.0519365892, 0.1219809055, -0.5286183357, 0.1002436876, -0.08518874650000001, 0.6308367848, -0.026328653100000002]"
954,"[0.0400665328, 0.2050335854, 0.6849390268000001, -0.0113980351, -0.0973215699, -0.06748743360000001, 0.6486320496, -0.3090549707, -0.224875927, 0.5031915903, -0.1798453331, -0.3990035355, 0.0792641193, -0.4808814228, 0.33643531800000004, 0.451968044, -0.027531109800000002, -0.0676042959, 0.29364272950000003, -0.0075079622, 0.42289394140000003, -0.4386405647, -0.115266934, -0.0646312684, -0.0272468906, -0.2669864297, 0.12905329470000002, -0.12255823610000001, 0.19565352800000002, 0.0371643752, -0.23266816140000002, 0.150906235, 0.1660963744, 0.0531970188, -0.0222374741, 0.20903237160000002, -0.3545004129, -0.1525005102, -2.8085000000000003e-05, -0.1208374202, 0.098006621, -0.0723081753, 0.5844585299, -0.0085715484, 0.1022692174, -0.2271098346, -0.2692927122, -0.6780403852, 0.0925159007, -0.1016029418, -0.3434228897, 0.09223273400000001, -0.1808963418, -0.34336775540000003, 0.7549764514, -0.023219388, 0.0251102876, -0.32360723610000003, -0.0804069191, -0.175917089, -0.5414804816000001, -0.0425273851, -0.4954723418, 0.1485393941, 0.5792912245, -0.0192093831, 0.29253622890000003, 0.0729234666, 0.3112275004, -0.3697942495, -0.0822412446, -0.2043650895, 0.15086087580000002, -0.0912262499, 0.1378363371, -0.0672260523, 0.35999566320000004, -0.1974090934, -0.18973268570000001, 0.24409002070000002, -0.1352560222, -0.431132108, -0.2286529988, 0.052118122600000004, 0.0103816874, 0.1996082664, 0.373853296, 0.10839454080000001, -0.1351592839, -0.0893794671, 0.5049039721, -0.487064749, -0.030391885, -0.17569977050000002, 0.2959673405, -0.07287972420000001, -0.1012329906, -0.020086174800000002, 0.45011472700000005, -0.0305190124, -0.3323939443, -0.0487700924, 0.1669023335, 0.140619576, 0.34711575510000003, -0.0182912759, 0.1891097873, 0.0183539055, 0.3967041671, -0.2979117632, 0.0767480135, 0.46128726010000004, 0.2950761616, 0.7590101957000001, 0.3196153939, 0.11696130040000001, -0.2322868854, -0.1145860404, -0.1725858301, 0.20343649390000001, -0.19792768360000002, 0.1144783348, 0.17811852690000002, -0.4037414789, 0.23380294440000002, 0.1673673689, 0.6493918896, -0.0337219611]"
955,"[0.004061094, 0.028070431200000003, 0.43054869770000004, 0.0661846846, -0.09760926660000001, 0.0678964034, 0.7311910987, -0.1684499979, -0.5037693977000001, 0.5534011126, -0.20045547190000002, -0.0311742276, -0.1112345457, -0.2291646004, 0.1517743766, 0.45079416040000003, -0.06677990410000001, -0.0633306056, 0.3077926934, 0.4096341133, 0.38573819400000003, -0.4367440641, -0.1842543036, 0.1403785646, 0.10873421280000001, -0.39986124630000003, 0.41893035170000004, -0.026984654400000002, 0.0580683611, -0.071070537, -0.0736429989, 0.057375073400000004, 0.3737828434, 0.023123865900000002, -0.11722789700000001, -0.1573109031, -0.19693791870000002, -0.1592967659, 0.2140718997, 0.1266956478, 0.23957264420000002, -0.09744028, 0.5974755287, -0.1056337953, 0.1495192945, -0.1964905113, -0.2808659375, -0.8178102970000001, 0.1040882394, 0.037534993100000004, -0.2366181165, 0.11863725630000001, -0.30487680440000003, 0.09531451760000001, 0.4993781745, -0.0959014744, -0.08511111140000001, -0.2945225239, -0.19525937740000002, -0.1940161735, -0.5675833225, -0.0650474131, -0.0428262316, 0.0472644009, 0.5106949806000001, -0.0412888378, 0.10323636230000001, 0.15404896440000002, 0.267958492, 0.1355833262, 0.1229155734, 0.0130173219, 0.2503704727, 0.0232556462, -0.12287554140000001, 0.2047351301, 0.25620120760000004, -0.11649999770000001, -0.3577767015, -0.0644006953, -0.0925890952, -0.23612052200000003, -0.1973449439, -0.0433273762, -0.0012630802, 0.17732152340000001, 0.40631979700000004, -0.1831461042, -0.1716635376, -0.081606552, 0.2094140947, -0.2283041626, -0.0548562109, 0.10095970330000001, 0.35638466480000003, -0.0817750394, -0.092700474, 0.10742048920000001, 0.46769601110000003, -0.23822534080000002, -0.2038398683, 0.0269182548, 0.2485610098, 0.2446340173, 0.4435424805, 0.0653234869, -0.2537995577, 0.27793163060000003, 0.48071378470000004, -0.45459753270000003, -0.262219429, 0.4407792687, 0.5973907709, 0.2891902328, 0.4286499023, 0.0716057122, -0.1462490261, 0.0086084278, -0.2124533653, 0.1013330743, -0.1383832991, -0.11090758440000001, 0.0815755948, -0.3562208116, 0.17465059460000001, 0.2503079176, 0.4004780054, -0.23997478190000002]"
956,"[-0.2048895359, 0.09018301220000001, 0.40544590350000004, 0.16779041290000002, -0.2603897452, -0.0354641303, 0.7599629164, -0.4091865122, -0.3074871004, 0.32425618170000003, -0.11439771950000001, -0.4887442589, -0.1732828915, -0.49854439500000003, 0.27903947230000004, 0.537594378, 0.0145308981, -0.1564190388, 0.1296633631, 0.0021359250000000003, 0.2077734768, -0.3887892962, -0.0342306942, -0.0504315495, 0.0133353919, -0.29989600180000003, 0.2687092423, -0.1885170639, 0.20272387560000002, -0.1135762334, 0.1891674995, 0.4587425292, 0.4073503613, 0.14051117, 0.06731167440000001, 0.0743663609, -0.32143354420000003, -0.0910076872, -0.0325443558, -0.0235895738, 0.25545510650000003, -0.21283589300000003, 0.5586543679, 0.14954330030000001, 0.1512402743, -0.1923698634, -0.3403387666, -0.4756843746, 0.0365840308, -0.1609560549, -0.045629002200000005, 0.1892649382, 0.0600876808, -0.3663474619, 0.6349658370000001, -0.23664812740000002, -0.3715566993, -0.3529732525, 0.24536241590000002, -0.4584594071, -0.6277451515, -0.1693313867, -0.3656765819, 0.0803234428, 0.769841969, -0.25864154100000003, 0.3694216907, 0.1293348372, 0.20708861950000002, 0.0019056564, 0.1127668321, 0.0023803399000000003, -0.0471399873, -0.0707798079, -0.0968626291, 0.1074645072, 0.45112815500000003, 0.24855288860000002, -0.22404599190000002, 0.1436057836, -0.00030187890000000003, -0.3945436478, -0.3076598942, 0.1677053422, 0.1450960636, 0.169035092, 0.4317898154, -0.1323976368, -0.2873158455, -0.23247440160000002, 0.5201560259, -0.1254563481, 0.0295509584, -0.16294105350000002, 0.25202488900000003, 0.08715610950000001, -0.29252037410000004, -0.3038929105, 0.6623467207, -0.04428697, -0.2532175183, -0.16592593490000002, 0.1195772886, 0.5086723566, 0.3420165777, -0.1230689585, 0.2916841805, 0.3675847054, 0.3300323784, -0.26321259140000003, 0.047490015600000005, 0.6069787145000001, 0.3020636439, 0.6399869323, 0.21030709150000002, 0.010623695300000001, -0.238789469, 0.0069850488, -0.2008272707, 0.2931318283, 0.0372023284, -0.029508575800000002, 0.0018675476, -0.5668209791000001, 0.0826088712, -0.1814474314, 0.8235359788000001, 0.0642094836]"
957,"[-0.0450899638, -0.28293564920000003, 0.6190097332, 0.2004021108, 0.0789936483, 0.0914237946, 0.5985658765, -0.1780433059, -0.1820806265, 0.4214295745, -0.20467224720000002, -0.3550556302, 0.1169402823, -0.4835461676, 0.3417830169, 0.4923819304, 0.1451952457, 0.0818669647, 0.362991184, -0.2063087225, 0.0014811382, -0.2760244906, -0.2593842149, -0.0051775444, -0.060186062000000005, -0.2781711817, 0.3234797716, 0.0697346181, 0.29639384150000003, -0.17803359030000002, 0.0300006773, 0.23246802390000001, 0.2853058577, -0.0392758846, -0.2460117638, 0.4697714746, -0.3866734505, 0.1789655685, -0.0138993636, -0.2019238472, 0.1118309349, -0.039509818, 0.6658301950000001, -0.08185489480000001, 0.12061266600000001, -0.12657518680000002, -0.2532872558, -0.3337354958, 0.11592645200000001, 0.1834004521, -0.0962038115, -0.036211948800000004, 0.326870203, -0.2747664154, 0.5115413666, 0.0640544593, -0.3142662048, -0.23713435230000002, 0.0588138849, -0.4568697512, -0.37706327440000004, -0.095191516, -0.1918485761, 0.09164367620000001, 0.8407638669, 0.1207785606, 0.0605893359, -0.0574157089, 0.3093271554, -0.0363356844, 0.0596978851, 0.06731817870000001, 0.09222608060000001, -0.0945262536, -0.1077156439, 0.0720795691, 0.3258737624, -0.16193559770000002, -0.19111911950000002, -0.0067868493, -0.0590397269, -0.48993209, -0.2581925094, 0.0671776161, 0.2745065391, -0.1843245775, 0.2699787021, 0.03056366, -0.2191800475, -0.1417771429, 0.12278267, -0.12418563660000001, -0.1953096688, 0.0228210818, 0.31690639260000003, -0.1337835789, 0.1168672666, -0.184460476, 0.30478355290000003, -0.0759112239, 0.0392153077, 0.2302571237, 0.2708699703, 0.4331310689, 0.33565586810000003, 0.18440032010000001, 0.21061035990000002, 0.296066761, 0.3690571785, -0.3086594641, -0.016844341500000002, 0.5426880121000001, 0.0519269407, 0.6283250451, 0.3980975151, -0.0438475087, -0.1633310318, 0.0966705605, 0.0415175557, 0.3003918231, -0.0028640265, 0.0797889531, -0.0111021269, -0.4918392301, -0.0432616137, -0.281475395, 0.3783390224, 0.0946977437]"
